region,response,frac_area,Tipo,median,lower,upper
CBA,Prec,0.01,PF,2312.88150841471,2294.03931654556,2324.17089997349
CBA,Prec,0.0149748743718593,PF,2312.91082218326,2294.06919236519,2324.21387603505
CBA,Prec,0.0199497487437186,PF,2312.94014983084,2294.09907590823,2324.25685491661
CBA,Prec,0.0249246231155779,PF,2312.95273321604,2294.12897489806,2324.29983943814
CBA,Prec,0.0298994974874372,PF,2312.91305986443,2294.1588970581,2324.34283241963
CBA,Prec,0.0348743718592965,PF,2312.87354071378,2294.18885011175,2324.38583668109
CBA,Prec,0.0398492462311558,PF,2312.83421431434,2294.21884178241,2324.42885504249
CBA,Prec,0.0448241206030151,PF,2312.79511921636,2294.24887979348,2324.47189032382
CBA,Prec,0.0497989949748744,PF,2312.75629397007,2294.27897186835,2324.51494534507
CBA,Prec,0.0547738693467337,PF,2312.71777712572,2294.30912573045,2324.55802292623
CBA,Prec,0.059748743718593,PF,2312.67960723355,2294.33934910315,2324.6011258873
CBA,Prec,0.0647236180904523,PF,2312.64182284381,2294.36964970988,2324.64425704825
CBA,Prec,0.0696984924623116,PF,2312.60446250672,2294.40003527402,2324.68741922908
CBA,Prec,0.0746733668341709,PF,2312.58703628584,2294.43051351898,2324.73061524977
CBA,Prec,0.0796482412060302,PF,2312.57231111159,2294.46109216817,2324.77384793032
CBA,Prec,0.0846231155778894,PF,2312.55785889589,2294.49177894497,2324.81712009072
CBA,Prec,0.0895979899497487,PF,2312.54369913576,2294.52258157281,2324.86043455094
CBA,Prec,0.094572864321608,PF,2312.52985132826,2294.55350777507,2324.90379413099
CBA,Prec,0.0995477386934673,PF,2312.51633497041,2294.58456527516,2324.94720165085
CBA,Prec,0.104522613065327,PF,2312.50316955926,2294.61576179647,2324.99065993051
CBA,Prec,0.109497487437186,PF,2312.49037459185,2294.64710506242,2325.03417178996
CBA,Prec,0.114472361809045,PF,2312.47796956521,2294.67860279641,2325.07774004918
CBA,Prec,0.119447236180905,PF,2312.46597397639,2294.71026272183,2325.12136752817
CBA,Prec,0.124422110552764,PF,2312.45440732242,2294.74209256208,2325.16505704692
CBA,Prec,0.129396984924623,PF,2312.44328910035,2294.77410004058,2325.2088114254
CBA,Prec,0.134371859296482,PF,2312.4326388072,2294.80629288071,2325.25263348363
CBA,Prec,0.139346733668342,PF,2312.43352222951,2294.83867880589,2325.29652604157
CBA,Prec,0.144321608040201,PF,2312.45433695162,2294.87126553951,2325.34049191922
CBA,Prec,0.14929648241206,PF,2312.47535727235,2294.90406080498,2325.38453393657
CBA,Prec,0.15427135678392,PF,2312.49659080649,2294.93707232569,2325.42865491361
CBA,Prec,0.159246231155779,PF,2312.51804516879,2294.97030782505,2325.47285767033
CBA,Prec,0.164221105527638,PF,2312.53972797401,2295.00377502646,2325.51714502671
CBA,Prec,0.169195979899498,PF,2312.56164683692,2295.03748165333,2325.56151980274
CBA,Prec,0.174170854271357,PF,2312.58380937229,2295.07143542904,2325.60598481842
CBA,Prec,0.179145728643216,PF,2312.60622319488,2295.10564407702,2325.65054289373
CBA,Prec,0.184120603015075,PF,2312.62889591945,2295.14011532065,2325.69519684867
CBA,Prec,0.189095477386935,PF,2312.65183516077,2295.17485688333,2325.73994950321
CBA,Prec,0.194070351758794,PF,2312.6750485336,2295.20987648848,2325.78480367735
CBA,Prec,0.199045226130653,PF,2312.69854365271,2295.24518185949,2325.82976219108
CBA,Prec,0.204020100502513,PF,2312.72232813285,2295.28078071977,2325.87482786438
CBA,Prec,0.208994974874372,PF,2312.7464095888,2295.31668079271,2325.92000351725
CBA,Prec,0.213969849246231,PF,2312.77079563532,2295.35288980172,2325.96529196968
CBA,Prec,0.21894472361809,PF,2312.79549388718,2295.38941547019,2326.01069604165
CBA,Prec,0.22391959798995,PF,2312.82051195913,2295.42626552154,2326.05621855315
CBA,Prec,0.228894472361809,PF,2312.84585746594,2295.46344767916,2326.10186232417
CBA,Prec,0.233869346733668,PF,2312.87153802237,2295.50096966645,2326.14763017469
CBA,Prec,0.238844221105528,PF,2312.8975612432,2295.53883920682,2326.19352492472
CBA,Prec,0.243819095477387,PF,2312.91249091612,2295.57706402366,2326.23954939424
CBA,Prec,0.248793969849246,PF,2312.92725764163,2295.61565184039,2326.28570640323
CBA,Prec,0.253768844221106,PF,2312.9431801719,2295.65461038039,2326.33199877168
CBA,Prec,0.258743718592965,PF,2312.96028258621,2295.69394736708,2326.3784293196
CBA,Prec,0.263718592964824,PF,2312.97858896382,2295.73367052385,2326.42500086695
CBA,Prec,0.268693467336683,PF,2312.99812338399,2295.7737875741,2326.47171623373
CBA,Prec,0.273668341708543,PF,2313.018909926,2295.81430624125,2326.51857823994
CBA,Prec,0.278643216080402,PF,2313.0409726691,2295.85523424868,2326.56558970555
CBA,Prec,0.283618090452261,PF,2313.06433569256,2295.8965793198,2326.61275345056
CBA,Prec,0.288592964824121,PF,2313.08902307565,2295.93834917802,2326.66007229496
CBA,Prec,0.29356783919598,PF,2313.11505889763,2295.98055154673,2326.70754905874
CBA,Prec,0.298542713567839,PF,2313.14246723778,2296.02319414933,2326.75518656187
CBA,Prec,0.303517587939699,PF,2313.17127217535,2296.06628470923,2326.80298762437
CBA,Prec,0.308492462311558,PF,2313.20149778961,2296.10983094983,2326.8509550662
CBA,Prec,0.313467336683417,PF,2313.23316815983,2296.15384059454,2326.89909170737
CBA,Prec,0.318442211055276,PF,2313.26630736528,2296.19832136674,2326.94740036786
CBA,Prec,0.323417085427136,PF,2313.30093948521,2296.24328098985,2326.99588386765
CBA,Prec,0.328391959798995,PF,2313.33708859891,2296.28872718726,2327.04454502674
CBA,Prec,0.333366834170854,PF,2313.37477878562,2296.33466768238,2327.09338666512
CBA,Prec,0.338341708542714,PF,2313.41403412462,2296.38111019861,2327.14241160278
CBA,Prec,0.343316582914573,PF,2313.45486414297,2296.42805542381,2327.19161512143
CBA,Prec,0.348291457286432,PF,2313.49722015887,2296.47547590364,2327.24096234975
CBA,Prec,0.353266331658292,PF,2313.54103893832,2296.52333714822,2327.29041087812
CBA,Prec,0.358241206030151,PF,2313.58625724732,2296.57160466769,2327.33991829695
CBA,Prec,0.36321608040201,PF,2313.63281185188,2296.62024397215,2327.38944219663
CBA,Prec,0.368190954773869,PF,2313.68063951799,2296.66922057175,2327.43894016757
CBA,Prec,0.373165829145729,PF,2313.72967701166,2296.71849997659,2327.48836980015
CBA,Prec,0.378140703517588,PF,2313.77986109887,2296.76804769681,2327.53768868477
CBA,Prec,0.383115577889447,PF,2313.83104535122,2296.81782924252,2327.58685441184
CBA,Prec,0.388090452261307,PF,2313.8692252021,2296.86781012385,2327.63582457174
CBA,Prec,0.393065326633166,PF,2313.90761532482,2296.91795585093,2327.68455675488
CBA,Prec,0.398040201005025,PF,2313.9461864891,2296.96823193386,2327.73300855166
CBA,Prec,0.403015075376884,PF,2313.98490946468,2297.01860388279,2327.78113755246
CBA,Prec,0.407989949748744,PF,2314.0237550213,2297.06903720783,2327.82890134769
CBA,Prec,0.412964824120603,PF,2314.0626939287,2297.1194974191,2327.87625752775
CBA,Prec,0.417939698492462,PF,2314.10169695661,2297.16995002673,2327.92316368303
CBA,Prec,0.422914572864322,PF,2314.14073487479,2297.22036054084,2327.96957740392
CBA,Prec,0.427889447236181,PF,2314.17977845296,2297.27069447155,2328.01545628084
CBA,Prec,0.43286432160804,PF,2314.21879846086,2297.32091732899,2328.06075790416
CBA,Prec,0.437839195979899,PF,2314.24811990249,2297.37099462328,2328.1054398643
CBA,Prec,0.442814070351759,PF,2314.27285259105,2297.42089186455,2328.14945975164
CBA,Prec,0.447788944723618,PF,2314.29751491262,2297.47057456291,2328.19277515659
CBA,Prec,0.452763819095477,PF,2314.3220877202,2297.52000822849,2328.23534366954
CBA,Prec,0.457738693467337,PF,2314.34655186677,2297.56915837141,2328.27712288089
CBA,Prec,0.462713567839196,PF,2314.37088820535,2297.61799050179,2328.31807038103
CBA,Prec,0.467688442211055,PF,2314.39507758891,2297.66647012977,2328.35814376037
CBA,Prec,0.472663316582915,PF,2314.41910087046,2297.71456276546,2328.3973006093
CBA,Prec,0.477638190954774,PF,2314.44293890299,2297.76223391898,2328.43549851821
CBA,Prec,0.482613065326633,PF,2314.46657253949,2297.80944910046,2328.47269507751
CBA,Prec,0.487587939698492,PF,2314.48998263296,2297.85617382002,2328.5088478776
CBA,Prec,0.492562814070352,PF,2314.51315003639,2297.90237358779,2328.54391450886
CBA,Prec,0.497537688442211,PF,2314.53605560278,2297.94801391388,2328.57785256169
