response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[a],0.25,25% cover,2,0.38262321444833,-3.02964374379269,4.29373835434116
Evapo,ET,mm,PF - SF[a],0.25,25% cover,3,-0.298808151217045,-2.58920722875034,3.69026136442022
Evapo,ET,mm,PF - SF[a],0.25,25% cover,4,0.192481217022007,-2.41677251472527,3.37345818772676
Evapo,ET,mm,PF - SF[a],0.25,25% cover,5,-0.298808151217045,-1.62991993749294,3.34023980239967
Evapo,ET,mm,PF - SF[a],0.25,25% cover,6,-0.00632682149364428,-1.41649279022329,2.79782317657864
Evapo,ET,mm,PF - SF[a],0.25,25% cover,7,-0.298808151217045,-1.20306564295365,2.93495055180905
Evapo,ET,mm,PF - SF[a],0.25,25% cover,8,0.00318315711950135,-1.25122030754258,2.77255880185586
Evapo,ET,mm,PF - SF[a],0.25,25% cover,9,0.29880815121706,-1.19726990618834,2.60910398563476
Evapo,ET,mm,PF - SF[a],0.25,25% cover,10,0.156113482801707,-1.19231024049856,2.3012865199161
Evapo,ET,mm,PF - SF[a],0.25,25% cover,11,0.29880815121706,-1.19726990618834,2.20856464764496
Evapo,ET,mm,PF - SF[a],0.25,25% cover,12,0,-1.19231024049856,2.09825921510776
Evapo,ET,mm,PF - SF[a],0.25,25% cover,13,-0.298808151217045,-1.18720568138964,2.20856464764496
Evapo,ET,mm,PF - SF[a],0.25,25% cover,14,0,-1.13723398973744,1.69497514783024
Evapo,ET,mm,PF - SF[a],0.25,25% cover,15,0.29880815121706,-1.08976088266785,1.98795378257056
Evapo,ET,mm,PF - SF[a],0.25,25% cover,16,0,-1.0014926734858,1.57432909818336
Evapo,ET,mm,PF - SF[a],0.25,25% cover,17,-0.298808151217045,-1.08726229808524,1.18138564801552
Evapo,ET,mm,PF - SF[a],0.25,25% cover,18,0,-0.948040435263039,1.39205935601206
Evapo,ET,mm,PF - SF[a],0.25,25% cover,19,7.105427357601e-15,-0.808818572440842,1.16070441379615
Evapo,ET,mm,PF - SF[a],0.25,25% cover,20,0,-0.796125436708195,1.39205935601206
Evapo,ET,mm,PF - SF[a],0.25,25% cover,21,0.29880815121706,-0.808818572440842,1.16070441379615
Evapo,ET,mm,PF - SF[a],0.25,25% cover,22,0,-0.796125436708195,0.924186099633715
Evapo,ET,mm,PF - SF[a],0.25,25% cover,23,0.29880815121706,-0.783432300975548,0.796164929453553
Evapo,ET,mm,PF - SF[a],0.25,25% cover,24,0,-0.599265998297653,0.741916357462401
Evapo,ET,mm,PF - SF[a],0.25,25% cover,25,0.29880815121706,-0.42430801075364,0.69038021407082
Evapo,ET,mm,PF - SF[a],0.25,25% cover,26,0,-0.599265998297653,0.741916357462401
Evapo,ET,mm,PF - SF[a],0.25,25% cover,27,0.29880815121706,-0.415099695619745,0.687667785471263
Evapo,ET,mm,PF - SF[a],0.25,25% cover,28,0,-0.356953923418388,0.493237968344161
Evapo,ET,mm,PF - SF[a],0.25,25% cover,29,0.29880815121706,-0.298808151217045,0.29880815121706
Evapo,ET,mm,PF - SF[a],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[a],0.5,50% cover,2,-0.134368355261225,-2.78287357454873,1.86569217471776
Evapo,ET,mm,PF - SF[a],0.5,50% cover,3,-0.0368891555171995,-3.1363230413499,2.04322272325292
Evapo,ET,mm,PF - SF[a],0.5,50% cover,4,-0.105902691942699,-2.3259647441697,1.76025079656471
Evapo,ET,mm,PF - SF[a],0.5,50% cover,5,0,-2.9740576830775,1.60980023228943
Evapo,ET,mm,PF - SF[a],0.5,50% cover,6,0.054379224759149,-2.06981454091769,1.319786600371
Evapo,ET,mm,PF - SF[a],0.5,50% cover,7,0.0368891555171995,-2.2070097381957,1.3775111703421
Evapo,ET,mm,PF - SF[a],0.5,50% cover,8,-0.0878637769891508,-1.49677309646175,1.04824022644505
Evapo,ET,mm,PF - SF[a],0.5,50% cover,9,-0.0368891555171995,-1.5156064469895,1.2620620303999
Evapo,ET,mm,PF - SF[a],0.5,50% cover,10,-0.0977559174342986,-1.33451356923951,1.2258705914967
Evapo,ET,mm,PF - SF[a],0.5,50% cover,11,-0.0368891555171995,-1.1388678515928,1.3775111703421
Evapo,ET,mm,PF - SF[a],0.5,50% cover,12,-0.0515234671835501,-1.0476648358617,1.04968334069433
Evapo,ET,mm,PF - SF[a],0.5,50% cover,13,-0.0368891555171995,-0.780304616227101,0.845109512687946
Evapo,ET,mm,PF - SF[a],0.5,50% cover,14,-0.0515234671835501,-0.694485919138406,0.925168182147001
Evapo,ET,mm,PF - SF[a],0.5,50% cover,15,-0.0368891555171995,-0.5797232247339,0.834418422490201
Evapo,ET,mm,PF - SF[a],0.5,50% cover,16,0,-0.587317941723284,0.71134637819215
Evapo,ET,mm,PF - SF[a],0.5,50% cover,17,0.0368891555171995,-0.5797232247339,0.5882743338941
Evapo,ET,mm,PF - SF[a],0.5,50% cover,18,0,-0.48465042600855,0.490033013762851
Evapo,ET,mm,PF - SF[a],0.5,50% cover,19,-0.0368891555171995,-0.389577627283201,0.5882743338941
Evapo,ET,mm,PF - SF[a],0.5,50% cover,20,0,-0.348997125298578,0.366960969464799
Evapo,ET,mm,PF - SF[a],0.5,50% cover,21,0.0368891555171995,-0.307185060574703,0.5882743338941
Evapo,ET,mm,PF - SF[a],0.5,50% cover,22,0,-0.319840806983607,0.366960969464799
Evapo,ET,mm,PF - SF[a],0.5,50% cover,23,0.0368891555171995,-0.3050724306591,0.156713273256967
Evapo,ET,mm,PF - SF[a],0.5,50% cover,24,0,-0.276883485030851,0.32072851921405
Evapo,ET,mm,PF - SF[a],0.5,50% cover,25,0.0368891555171995,-0.250103986684012,0.145647605035499
Evapo,ET,mm,PF - SF[a],0.5,50% cover,26,0,-0.276883485030851,0.0994151547847508
Evapo,ET,mm,PF - SF[a],0.5,50% cover,27,0.0368891555171995,-0.248694539402599,0.0531827045340005
Evapo,ET,mm,PF - SF[a],0.5,50% cover,28,0,-0.1427918474599,0.0450359300256
Evapo,ET,mm,PF - SF[a],0.5,50% cover,29,0.0368891555171995,-0.0368891555171995,0.0368891555171995
Evapo,ET,mm,PF - SF[a],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[a],0.75,75% cover,2,0.753363006534997,-3.63890689798246,5.21759554644161
Evapo,ET,mm,PF - SF[a],0.75,75% cover,3,-0.0422625066417055,-3.8126204617633,5.22989169996509
Evapo,ET,mm,PF - SF[a],0.75,75% cover,4,0.413243653090845,-2.55587813573606,3.98948148132695
Evapo,ET,mm,PF - SF[a],0.75,75% cover,5,-0.0422625066417055,-2.88935963857871,3.55362804830359
Evapo,ET,mm,PF - SF[a],0.75,75% cover,6,0.343940019559739,-2.27140117344467,3.53628092988728
Evapo,ET,mm,PF - SF[a],0.75,75% cover,7,-0.0422625066417055,-2.88935963857871,3.51893381147099
Evapo,ET,mm,PF - SF[a],0.75,75% cover,8,0.240872926852298,-2.09800405747603,3.36396896091977
Evapo,ET,mm,PF - SF[a],0.75,75% cover,9,-0.0422625066417055,-1.8533237707704,3.21624046113717
Evapo,ET,mm,PF - SF[a],0.75,75% cover,10,0.282399864589848,-1.7777296607571,3.13588747278689
Evapo,ET,mm,PF - SF[a],0.75,75% cover,11,0.0422625066416913,-1.7021355507438,3.06329585239389
Evapo,ET,mm,PF - SF[a],0.75,75% cover,12,0.148638362845588,-1.57809627082154,2.90145426150309
Evapo,ET,mm,PF - SF[a],0.75,75% cover,13,-0.0422625066417055,-1.30286877087269,3.05992432184259
Evapo,ET,mm,PF - SF[a],0.75,75% cover,14,0,-1.0997593308503,2.27313991037665
Evapo,ET,mm,PF - SF[a],0.75,75% cover,15,-0.0422625066417055,-0.906887500568203,2.74298420116359
Evapo,ET,mm,PF - SF[a],0.75,75% cover,16,0,-0.700814103938227,2.18443766559579
Evapo,ET,mm,PF - SF[a],0.75,75% cover,17,-0.0422625066417055,-0.906887500568203,2.74298420116359
Evapo,ET,mm,PF - SF[a],0.75,75% cover,18,0,-0.692989836592105,2.02428183998065
Evapo,ET,mm,PF - SF[a],0.75,75% cover,19,0.0422625066416913,-0.479092172616007,1.3055794787977
Evapo,ET,mm,PF - SF[a],0.75,75% cover,20,0,-0.425093447922817,1.6750232184925
Evapo,ET,mm,PF - SF[a],0.75,75% cover,21,0.0422625066416913,-0.479092172616007,1.3055794787977
Evapo,ET,mm,PF - SF[a],0.75,75% cover,22,0,-0.420394907988808,1.1516225140237
Evapo,ET,mm,PF - SF[a],0.75,75% cover,23,0.0422625066416913,-0.361697643361609,0.997665549249689
Evapo,ET,mm,PF - SF[a],0.75,75% cover,24,0,-0.335741576745903,1.1516225140237
Evapo,ET,mm,PF - SF[a],0.75,75% cover,25,0.0422625066416913,-0.311083313460997,0.997665549249689
Evapo,ET,mm,PF - SF[a],0.75,75% cover,26,0,-0.335741576745903,0.802363892535539
Evapo,ET,mm,PF - SF[a],0.75,75% cover,27,0.0422625066416913,-0.309785510130212,0.607062235821388
Evapo,ET,mm,PF - SF[a],0.75,75% cover,28,0,-0.176024008385951,0.32466237123154
Evapo,ET,mm,PF - SF[a],0.75,75% cover,29,0.0422625066416913,-0.0422625066417055,0.0422625066416913
Evapo,ET,mm,PF - SF[a],0.75,75% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.25,25% cover,2,0.0862062943965789,-2.98450524900395,3.35985532032663
Evapo,ET,mm,PF - SF[e],0.25,25% cover,3,-0.0423298617540482,-3.02822433540975,3.55552202084185
Evapo,ET,mm,PF - SF[e],0.25,25% cover,4,0.153526202361704,-2.66456366602637,3.25451693390952
Evapo,ET,mm,PF - SF[e],0.25,25% cover,5,-0.0375956841535512,-2.53950736767705,3.16419185114629
Evapo,ET,mm,PF - SF[e],0.25,25% cover,6,-0.00118354440012425,-2.41818048789136,2.93657576344403
Evapo,ET,mm,PF - SF[e],0.25,25% cover,7,-0.0375956841535512,-2.53950736767705,3.16357130463695
Evapo,ET,mm,PF - SF[e],0.25,25% cover,8,0.151159113561448,-2.33615838101595,2.47803485719235
Evapo,ET,mm,PF - SF[e],0.25,25% cover,9,-0.0375956841535512,-2.29478493584725,2.52878047987365
Evapo,ET,mm,PF - SF[e],0.25,25% cover,10,-0.0023670888002485,-1.8499206669493,2.47803485719235
Evapo,ET,mm,PF - SF[e],0.25,25% cover,11,-0.0375956841535512,-1.42729961149625,2.42228333414435
Evapo,ET,mm,PF - SF[e],0.25,25% cover,12,0,-1.41975531892153,2.27551829829567
Evapo,ET,mm,PF - SF[e],0.25,25% cover,13,-0.0375956841535512,-1.07136940633698,2.42228333414435
Evapo,ET,mm,PF - SF[e],0.25,25% cover,14,0,-0.936461106801512,2.20664052447499
Evapo,ET,mm,PF - SF[e],0.25,25% cover,15,-0.0375956841535512,-1.06281332962635,2.11849615430785
Evapo,ET,mm,PF - SF[e],0.25,25% cover,16,0,-0.762922644341924,1.32049129975801
Evapo,ET,mm,PF - SF[e],0.25,25% cover,17,-0.0375956841535512,-0.801552807266049,2.11849615430785
Evapo,ET,mm,PF - SF[e],0.25,25% cover,18,0,-0.666497105558747,1.31669396001005
Evapo,ET,mm,PF - SF[e],0.25,25% cover,19,-0.0375956841535512,-0.531441403851446,1.98772852404915
Evapo,ET,mm,PF - SF[e],0.25,25% cover,20,0,-0.465448887304589,1.25131014488071
Evapo,ET,mm,PF - SF[e],0.25,25% cover,21,0,-0.531441403851446,1.98772852404915
Evapo,ET,mm,PF - SF[e],0.25,25% cover,22,0,-0.328614495620633,1.16618830646306
Evapo,ET,mm,PF - SF[e],0.25,25% cover,23,0.0375956841535512,-0.531441403851446,0.51489176571225
Evapo,ET,mm,PF - SF[e],0.25,25% cover,24,0,-0.32523810307795,0.444342231714773
Evapo,ET,mm,PF - SF[e],0.25,25% cover,25,0.0375956841535512,-0.119034802304448,0.344648088876951
Evapo,ET,mm,PF - SF[e],0.25,25% cover,26,0,-0.080682332029248,0.429769927294601
Evapo,ET,mm,PF - SF[e],0.25,25% cover,27,0.0375956841535512,-0.0423298617540482,0.344648088876951
Evapo,ET,mm,PF - SF[e],0.25,25% cover,28,0,-0.0399627729537997,0.191121886515248
Evapo,ET,mm,PF - SF[e],0.25,25% cover,29,0.0375956841535512,-0.0375956841535512,0.0375956841535512
Evapo,ET,mm,PF - SF[e],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.5,50% cover,2,-0.761608817703401,-3.37173283774664,2.74466551715336
Evapo,ET,mm,PF - SF[e],0.5,50% cover,3,-0.1685977471959,-3.6206808386658,1.8406311340056
Evapo,ET,mm,PF - SF[e],0.5,50% cover,4,-0.26378079319305,-2.90918753417315,1.6441881614965
Evapo,ET,mm,PF - SF[e],0.5,50% cover,5,-0.1397036493271,-3.103616497605,0.890727663076499
Evapo,ET,mm,PF - SF[e],0.5,50% cover,6,-0.0288940978688004,-2.65830014717489,1.17861470454615
Evapo,ET,mm,PF - SF[e],0.5,50% cover,7,0.1397036493271,-2.7001400149171,0.890727663076499
Evapo,ET,mm,PF - SF[e],0.5,50% cover,8,0.0527004412126502,-2.31569075060897,0.805224027911165
Evapo,ET,mm,PF - SF[e],0.5,50% cover,9,-0.1397036493271,-2.4111735426669,0.708480002750615
Evapo,ET,mm,PF - SF[e],0.5,50% cover,10,0.0263502206063251,-2.13956608600244,0.663898622363472
Evapo,ET,mm,PF - SF[e],0.5,50% cover,11,0,-2.2079020083878,0.620216797541099
Evapo,ET,mm,PF - SF[e],0.5,50% cover,12,0.10486892425515,-2.0379029725428,0.663714864973667
Evapo,ET,mm,PF - SF[e],0.5,50% cover,13,-0.1397036493271,-1.8679039366978,0.620216797541099
Evapo,ET,mm,PF - SF[e],0.5,50% cover,14,0,-1.14279643763658,0.636925312844304
Evapo,ET,mm,PF - SF[e],0.5,50% cover,15,-0.1397036493271,-0.416098867230701,0.620216797541099
Evapo,ET,mm,PF - SF[e],0.5,50% cover,16,0,-1.00076837752458,0.602225686245699
Evapo,ET,mm,PF - SF[e],0.5,50% cover,17,-0.1397036493271,-0.445224524801293,0.584234574950299
Evapo,ET,mm,PF - SF[e],0.5,50% cover,18,0,-0.942905366303064,0.576884279358099
Evapo,ET,mm,PF - SF[e],0.5,50% cover,19,-0.1397036493271,-0.416098867230701,0.569533983765899
Evapo,ET,mm,PF - SF[e],0.5,50% cover,20,0,-0.862440974213534,0.495887780874912
Evapo,ET,mm,PF - SF[e],0.5,50% cover,21,-0.1397036493271,-0.416098867230701,0.423427736586246
Evapo,ET,mm,PF - SF[e],0.5,50% cover,22,0,-0.358963839190199,0.494607703160948
Evapo,ET,mm,PF - SF[e],0.5,50% cover,23,-0.1397036493271,-0.301828811149701,0.423427736586246
Evapo,ET,mm,PF - SF[e],0.5,50% cover,24,0,-0.251088703808213,0.415328715080623
Evapo,ET,mm,PF - SF[e],0.5,50% cover,25,-0.1397036493271,-0.301828811149701,0.419681422555998
Evapo,ET,mm,PF - SF[e],0.5,50% cover,26,0,-0.249660328107201,0.413455558065499
Evapo,ET,mm,PF - SF[e],0.5,50% cover,27,-0.1397036493271,-0.1974918450647,0.407229693574999
Evapo,ET,mm,PF - SF[e],0.5,50% cover,28,0,-0.1685977471959,0.27346667145105
Evapo,ET,mm,PF - SF[e],0.5,50% cover,29,-0.1397036493271,-0.1397036493271,0.1397036493271
Evapo,ET,mm,PF - SF[e],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.75,75% cover,2,-0.193945088106602,-4.74613503748202,3.71061463431764
Evapo,ET,mm,PF - SF[e],0.75,75% cover,3,0.296490345879192,-4.86783373909201,3.9017238057388
Evapo,ET,mm,PF - SF[e],0.75,75% cover,4,-0.172334386404479,-4.38911788270646,3.50675578216536
Evapo,ET,mm,PF - SF[e],0.75,75% cover,5,0.296490345879192,-3.77097831279431,3.65269765336669
Evapo,ET,mm,PF - SF[e],0.75,75% cover,6,0.00262574623749856,-2.82333824724463,3.33267621976276
Evapo,ET,mm,PF - SF[e],0.75,75% cover,7,-0.296490345879207,-2.58994325691951,3.02713233253898
Evapo,ET,mm,PF - SF[e],0.75,75% cover,8,0,-2.4645753552706,2.79950619136479
Evapo,ET,mm,PF - SF[e],0.75,75% cover,9,0.296490345879192,-2.58994325691951,2.62034688381988
Evapo,ET,mm,PF - SF[e],0.75,75% cover,10,-0.0753618423511782,-2.44759184564745,2.79829384767431
Evapo,ET,mm,PF - SF[e],0.75,75% cover,11,0.296490345879192,-2.31178582053781,2.6103277732484
Evapo,ET,mm,PF - SF[e],0.75,75% cover,12,-0.0969725440533011,-2.08306071460541,2.29435085420787
Evapo,ET,mm,PF - SF[e],0.75,75% cover,13,0.296490345879192,-1.86146785063151,2.0177475233019
Evapo,ET,mm,PF - SF[e],0.75,75% cover,14,0,-1.77178418194385,2.22578905868654
Evapo,ET,mm,PF - SF[e],0.75,75% cover,15,-0.296490345879207,-1.79140883870491,2.00320620917459
Evapo,ET,mm,PF - SF[e],0.75,75% cover,16,-0.171290390603758,-1.77178418194385,1.66523279175104
Evapo,ET,mm,PF - SF[e],0.75,75% cover,17,0.296490345879192,-1.79140883870491,1.8667193431065
Evapo,ET,mm,PF - SF[e],0.75,75% cover,18,0,-1.72308899568684,1.596989358717
Evapo,ET,mm,PF - SF[e],0.75,75% cover,19,0.296490345879192,-1.65301767737061,1.3272593743275
Evapo,ET,mm,PF - SF[e],0.75,75% cover,20,0,-1.51897174408933,1.10175192545034
Evapo,ET,mm,PF - SF[e],0.75,75% cover,21,0.296490345879192,-1.65301767737061,1.3272593743275
Evapo,ET,mm,PF - SF[e],0.75,75% cover,22,0,-1.4445648425517,0.854676638563689
Evapo,ET,mm,PF - SF[e],0.75,75% cover,23,0.296490345879192,-1.24653464947374,0.382093902799895
Evapo,ET,mm,PF - SF[e],0.75,75% cover,24,0,-1.19523914723558,0.832021941060845
Evapo,ET,mm,PF - SF[e],0.75,75% cover,25,0.296490345879192,-1.2361120077328,0.382093902799895
Evapo,ET,mm,PF - SF[e],0.75,75% cover,26,0,-0.980393345870112,0.359439205297036
Evapo,ET,mm,PF - SF[e],0.75,75% cover,27,-0.296490345879207,-0.724674684007411,0.336784507794192
Evapo,ET,mm,PF - SF[e],0.75,75% cover,28,0,-0.510582514943309,0.316637426836692
Evapo,ET,mm,PF - SF[e],0.75,75% cover,29,-0.296490345879207,-0.296490345879207,0.296490345879192
Evapo,ET,mm,PF - SF[e],0.75,75% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.25,25% cover,2,-0.107535007260864,-3.31005208647967,2.9800769738003
Evapo,ET,mm,PF - SF[i],0.25,25% cover,3,0.20107902560585,-4.04116392312424,2.68693016800896
Evapo,ET,mm,PF - SF[i],0.25,25% cover,4,-0.0407829607226944,-2.68305264064934,2.23225181713371
Evapo,ET,mm,PF - SF[i],0.25,25% cover,5,0.027592035506359,-1.8552025067952,2.21110870922736
Evapo,ET,mm,PF - SF[i],0.25,25% cover,6,0.0915359266904971,-2.06290188299627,1.76578937570961
Evapo,ET,mm,PF - SF[i],0.25,25% cover,7,0.027592035506359,-1.71578873670005,2.00217049814916
Evapo,ET,mm,PF - SF[i],0.25,25% cover,8,0,-1.62817127128908,1.66110168657181
Evapo,ET,mm,PF - SF[i],0.25,25% cover,9,0.027592035506359,-1.64692574536134,1.54645777396856
Evapo,ET,mm,PF - SF[i],0.25,25% cover,10,0,-1.3721934492207,1.4332453244815
Evapo,ET,mm,PF - SF[i],0.25,25% cover,11,0.027592035506359,-1.31170762774944,1.32003287499445
Evapo,ET,mm,PF - SF[i],0.25,25% cover,12,0,-1.20584502272039,1.05484687384445
Evapo,ET,mm,PF - SF[i],0.25,25% cover,13,0.027592035506359,-1.31170762774944,1.05578775311986
Evapo,ET,mm,PF - SF[i],0.25,25% cover,14,0,-1.19797821164341,1.05419863110114
Evapo,ET,mm,PF - SF[i],0.25,25% cover,15,0.027592035506359,-1.10281731494678,0.788364387207849
Evapo,ET,mm,PF - SF[i],0.25,25% cover,16,0,-1.19797821164341,0.704424439526853
Evapo,ET,mm,PF - SF[i],0.25,25% cover,17,0.027592035506359,-1.10281731494678,0.788364387207849
Evapo,ET,mm,PF - SF[i],0.25,25% cover,18,0,-1.09068558510944,0.628433389362854
Evapo,ET,mm,PF - SF[i],0.25,25% cover,19,0.027592035506359,-1.08391001713885,0.613798907698055
Evapo,ET,mm,PF - SF[i],0.25,25% cover,20,0,-0.849262492746067,0.521709224815595
Evapo,ET,mm,PF - SF[i],0.25,25% cover,21,-0.0275920355063448,-1.08391001713885,0.613798907698055
Evapo,ET,mm,PF - SF[i],0.25,25% cover,22,0,-0.839808843842093,0.434426485060698
Evapo,ET,mm,PF - SF[i],0.25,25% cover,23,-0.0275920355063448,-0.595707670545352,0.255054062423355
Evapo,ET,mm,PF - SF[i],0.25,25% cover,24,0,-0.466163827207055,0.228066544014609
Evapo,ET,mm,PF - SF[i],0.25,25% cover,25,-0.0275920355063448,-0.595707670545352,0.20107902560585
Evapo,ET,mm,PF - SF[i],0.25,25% cover,26,0,-0.466163827207055,0.228066544014609
Evapo,ET,mm,PF - SF[i],0.25,25% cover,27,-0.0275920355063448,-0.336619983868744,0.20107902560585
Evapo,ET,mm,PF - SF[i],0.25,25% cover,28,0,-0.182106009687544,0.114335530556104
Evapo,ET,mm,PF - SF[i],0.25,25% cover,29,0.027592035506359,-0.0275920355063448,0.027592035506359
Evapo,ET,mm,PF - SF[i],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[i],0.5,50% cover,2,-0.10000205988547,-1.76437250642855,2.12658843881894
Evapo,ET,mm,PF - SF[i],0.5,50% cover,3,4.44089209850063e-16,-2.03148716326052,2.43571365269565
Evapo,ET,mm,PF - SF[i],0.5,50% cover,4,-0.137641349489458,-1.75725507345733,1.56192829385966
Evapo,ET,mm,PF - SF[i],0.5,50% cover,5,-0.0369040214960696,-1.5735534585713,0.84620174693498
Evapo,ET,mm,PF - SF[i],0.5,50% cover,6,-0.210193624659893,-1.41005689719297,0.877583392263672
Evapo,ET,mm,PF - SF[i],0.5,50% cover,7,-0.0369040214960696,-1.14268876508322,0.84620174693498
Evapo,ET,mm,PF - SF[i],0.5,50% cover,8,-0.18640759482645,-1.31541351158523,0.716138740629794
Evapo,ET,mm,PF - SF[i],0.5,50% cover,9,-0.0369040214960696,-1.11711152573082,0.58356254430794
Evapo,ET,mm,PF - SF[i],0.5,50% cover,10,-0.0317042328115349,-1.08856604338621,0.551819351031325
Evapo,ET,mm,PF - SF[i],0.5,50% cover,11,-0.0369040214960696,-1.06144783515883,0.57475355995496
Evapo,ET,mm,PF - SF[i],0.5,50% cover,12,-0.0748808470301547,-1.00556464079685,0.49715105852147
Evapo,ET,mm,PF - SF[i],0.5,50% cover,13,-0.0369040214960696,-0.875161411173741,0.423428682159655
Evapo,ET,mm,PF - SF[i],0.5,50% cover,14,-0.167955584078415,-0.856610035153611,0.482480463859019
Evapo,ET,mm,PF - SF[i],0.5,50% cover,15,-0.0369040214960696,-0.838986227934487,0.390940897496202
Evapo,ET,mm,PF - SF[i],0.5,50% cover,16,-0.167955584078415,-0.856610035153611,0.40487796242553
Evapo,ET,mm,PF - SF[i],0.5,50% cover,17,-0.0369040214960696,-0.875161411173741,0.39020736776308
Evapo,ET,mm,PF - SF[i],0.5,50% cover,18,-0.121418215554285,-0.745804863181852,0.377076643934351
Evapo,ET,mm,PF - SF[i],0.5,50% cover,19,-0.0369040214960696,-0.83805865913348,0.39020736776308
Evapo,ET,mm,PF - SF[i],0.5,50% cover,20,-0.0748808470301547,-0.72689990699803,0.350479616725738
Evapo,ET,mm,PF - SF[i],0.5,50% cover,21,-0.0369040214960696,-0.61574115486258,0.3632123903725
Evapo,ET,mm,PF - SF[i],0.5,50% cover,22,0,-0.540233755279746,0.349807045896455
Evapo,ET,mm,PF - SF[i],0.5,50% cover,23,-0.0369040214960696,-0.45916841809014,0.3632123903725
Evapo,ET,mm,PF - SF[i],0.5,50% cover,24,0,-0.53745478647636,0.336309557201165
